id_number,customer_class,original_customer_class,node,arrival_date,waiting_time,service_start_date,service_time,service_end_date,time_blocked,exit_date,destination,queue_size_at_arrival,queue_size_at_departure,server_id,record_type
9153,Product_A,Product_A,3,2399.7895492059215,0.0,2399.7895492059215,0.06576192101920242,2399.8553111269407,0.0,2399.8553111269407,4,0,0,1,service
9153,Product_A,Product_A,4,2399.8553111269407,0.0,2399.8553111269407,0.14058736420474816,2399.9958984911455,0.0,2399.9958984911455,1,0,0,1,service
9154,Product_B,Product_B,1,2399.9687341792296,0.0,2399.9687341792296,0.008449749763713044,2399.9771839289933,0.0,2399.9771839289933,2,0,0,1,service
1,Product_B,Product_B,1,0.1322668087670501,0.0,0.1322668087670501,0.017573064401098015,0.14983987316814812,0.0,0.14983987316814812,2,0,0,1,service
1,Product_B,Product_B,2,0.14983987316814812,0.0,0.14983987316814812,0.0011982093570354069,0.15103808252518353,0.0,0.15103808252518353,3,0,0,1,service
1,Product_B,Product_B,3,0.15103808252518353,0.0,0.15103808252518353,0.03779901630889912,0.18883709883408265,0.0,0.18883709883408265,4,0,0,1,service
1,Product_B,Product_B,4,0.18883709883408265,0.0,0.18883709883408265,0.00019325846834877813,0.18903035730243142,0.0,0.18903035730243142,-1,0,0,1,service
2,Product_A,Product_A,3,0.24538643074521913,0.0,0.24538643074521913,0.032749169758342495,0.2781356005035616,0.0,0.2781356005035616,4,0,0,1,service
2,Product_A,Product_A,4,0.2781356005035616,0.0,0.2781356005035616,0.19369039884871936,0.471825999352281,0.0,0.471825999352281,1,0,0,1,service
2,Product_A,Product_A,1,0.471825999352281,0.0,0.471825999352281,0.0010355874154356348,0.4728615867677166,0.0,0.4728615867677166,2,0,0,1,service
2,Product_A,Product_A,2,0.4728615867677166,0.0,0.4728615867677166,0.03464907139874651,0.5075106581664631,0.0,0.5075106581664631,-1,0,0,1,service
3,Product_A,Product_A,3,1.3107872412807007,0.0,1.3107872412807007,0.15551831671487482,1.4663055579955755,0.0,1.4663055579955755,4,0,0,1,service
3,Product_A,Product_A,4,1.4663055579955755,0.0,1.4663055579955755,0.03655887456739082,1.5028644325629663,0.0,1.5028644325629663,1,0,0,1,service
3,Product_A,Product_A,1,1.5028644325629663,0.0,1.5028644325629663,0.008354417249056612,1.511218849812023,0.0,1.511218849812023,2,0,0,1,service
3,Product_A,Product_A,2,1.511218849812023,0.0,1.511218849812023,0.030435846370873376,1.5416546961828963,0.0,1.5416546961828963,-1,0,0,1,service
4,Product_B,Product_B,1,1.5573047749778466,0.0,1.5573047749778466,0.004422976471919027,1.5617277514497656,0.0,1.5617277514497656,2,0,0,1,service
4,Product_B,Product_B,2,1.5617277514497656,0.0,1.5617277514497656,0.025643836924954977,1.5873715883747206,0.0,1.5873715883747206,3,0,0,1,service
4,Product_B,Product_B,3,1.5873715883747206,0.0,1.5873715883747206,0.001448264751144901,1.5888198531258655,0.0,1.5888198531258655,4,0,0,1,service
4,Product_B,Product_B,4,1.5888198531258655,0.0,1.5888198531258655,0.0745208282173655,1.663340681343231,0.0,1.663340681343231,-1,0,0,1,service
5,Product_A,Product_A,3,1.710770581732628,0.0,1.710770581732628,0.05711360409091926,1.7678841858235472,0.0,1.7678841858235472,4,0,0,1,service
5,Product_A,Product_A,4,1.7678841858235472,0.0,1.7678841858235472,0.1310487328077179,1.8989329186312651,0.0,1.8989329186312651,1,0,1,1,service
5,Product_A,Product_A,1,1.8989329186312651,0.0,1.8989329186312651,0.062402847893330726,1.9613357665245958,0.0,1.9613357665245958,2,0,0,1,service
5,Product_A,Product_A,2,1.9613357665245958,0.0,1.9613357665245958,0.001561596915818697,1.9628973634404145,0.0,1.9628973634404145,-1,0,0,1,service
8,maint,maint,3,2.01271086842663,0.0,2.01271086842663,0.01544714380810186,2.028158012234732,0.0,2.028158012234732,-1,0,0,1,service
6,Product_B,Product_B,1,1.7979213200781672,0.0,1.7979213200781672,0.0021474200199680382,1.8000687400981352,0.0,1.8000687400981352,2,0,0,1,service
6,Product_B,Product_B,2,1.8000687400981352,0.0,1.8000687400981352,0.05174968225352039,1.8518184223516556,0.0,1.8518184223516556,3,0,0,1,service
6,Product_B,Product_B,3,1.8518184223516556,0.0,1.8518184223516556,0.03655776989915238,1.888376192250808,0.0,1.888376192250808,4,0,1,1,service
6,Product_B,Product_B,4,1.888376192250808,0.010556726380457127,1.8989329186312651,0.19627100579544043,2.0952039244267056,0.0,2.0952039244267056,-1,1,2,1,service
9,maint,maint,4,2.0145783100544907,0.08062561437221483,2.0952039244267056,0.007914980579696085,2.1031189050064016,0.0,2.1031189050064016,-1,2,1,1,service
7,Product_A,Product_A,3,1.8821703876873288,0.006205804563479189,1.888376192250808,0.020083262118241407,1.9084594543690494,0.0,1.9084594543690494,4,1,0,1,service
7,Product_A,Product_A,4,1.9084594543690494,0.19465945063735224,2.1031189050064016,0.0530561222434458,2.1561750272498474,0.0,2.1561750272498474,1,1,0,1,service
7,Product_A,Product_A,1,2.1561750272498474,0.0,2.1561750272498474,0.0374116428932707,2.193586670143118,0.0,2.193586670143118,2,0,1,1,service
7,Product_A,Product_A,2,2.193586670143118,0.0,2.193586670143118,0.06698105104708896,2.260567721190207,0.0,2.260567721190207,-1,0,1,1,service
10,Product_B,Product_B,1,2.1687206354052204,0.024866034737897724,2.193586670143118,0.011835729740911294,2.2054223998840294,0.0,2.2054223998840294,2,1,0,1,service
10,Product_B,Product_B,2,2.2054223998840294,0.055145321306177664,2.260567721190207,0.0208186179812464,2.2813863391714535,0.0,2.2813863391714535,3,1,0,1,service
10,Product_B,Product_B,3,2.2813863391714535,0.0,2.2813863391714535,0.0020014081320507415,2.2833877473035042,0.0,2.2833877473035042,4,0,0,1,service
10,Product_B,Product_B,4,2.2833877473035042,0.0,2.2833877473035042,0.11140345902018556,2.39479120632369,0.0,2.39479120632369,-1,0,0,1,service
11,Product_B,Product_B,1,2.5991218290677187,0.0,2.5991218290677187,0.0680940924531015,2.66721592152082,0.0,2.66721592152082,2,0,0,1,service
11,Product_B,Product_B,2,2.66721592152082,0.0,2.66721592152082,0.007781266075909787,2.67499718759673,0.0,2.67499718759673,3,0,0,1,service
11,Product_B,Product_B,3,2.67499718759673,0.0,2.67499718759673,0.26811001677856394,2.943107204375294,0.0,2.943107204375294,4,0,0,1,service
11,Product_B,Product_B,4,2.943107204375294,0.0,2.943107204375294,0.07110560428674617,3.01421280866204,0.0,3.01421280866204,-1,0,0,1,service
14,maint,maint,1,3.446953153271147,0.0,3.446953153271147,0.052287369069560885,3.499240522340708,0.0,3.499240522340708,-1,0,0,1,service
13,Product_B,Product_B,1,3.4235659820710316,0.0,3.4235659820710316,0.012017948943077172,3.4355839310141087,0.0,3.4355839310141087,2,0,0,1,service
13,Product_B,Product_B,2,3.4355839310141087,0.0,3.4355839310141087,0.025607480285338102,3.461191411299447,0.0,3.461191411299447,3,0,0,1,service
13,Product_B,Product_B,3,3.461191411299447,0.007128266227452329,3.468319677526899,0.1020587998989928,3.570378477425892,0.0,3.570378477425892,4,1,0,1,service
13,Product_B,Product_B,4,3.570378477425892,0.012441306036926392,3.5828197834628184,0.00529464220519138,3.5881144256680098,0.0,3.5881144256680098,-1,1,0,1,service
15,maint,maint,2,3.5213577842925234,0.0,3.5213577842925234,0.18109444525284868,3.702452229545372,0.0,3.702452229545372,-1,0,2,1,service
12,Product_A,Product_A,3,3.358976074698888,0.0,3.358976074698888,0.10934360282801103,3.468319677526899,0.0,3.468319677526899,4,0,1,1,service
12,Product_A,Product_A,4,3.468319677526899,0.0,3.468319677526899,0.1145001059359192,3.5828197834628184,0.0,3.5828197834628184,1,0,1,1,service
12,Product_A,Product_A,1,3.5828197834628184,0.0,3.5828197834628184,0.06800996494404021,3.6508297484068586,0.0,3.6508297484068586,2,0,1,1,service
12,Product_A,Product_A,2,3.6508297484068586,0.05162248113851353,3.702452229545372,0.03436565687546045,3.7368178864208326,0.0,3.7368178864208326,-1,1,1,1,service
16,Product_A,Product_A,3,3.5791384959912027,0.0,3.5791384959912027,0.04062329906843365,3.6197617950596364,0.0,3.6197617950596364,4,0,0,1,service
16,Product_A,Product_A,4,3.6197617950596364,0.0,3.6197617950596364,0.014862856445210681,3.634624651504847,0.0,3.634624651504847,1,0,0,1,service
16,Product_A,Product_A,1,3.634624651504847,0.01620509690201155,3.6508297484068586,0.014709465295084101,3.6655392137019427,0.0,3.6655392137019427,2,1,0,1,service
16,Product_A,Product_A,2,3.6655392137019427,0.07127867271888988,3.7368178864208326,0.043413743036289976,3.7802316294571225,0.0,3.7802316294571225,-1,2,0,1,service
17,maint,maint,4,3.820107014555333,0.0,3.820107014555333,0.03949653192432612,3.859603546479659,0.0,3.859603546479659,-1,0,0,1,service
18,Product_A,Product_A,3,4.265864646054356,0.0,4.265864646054356,0.001576318795200926,4.267440964849557,0.0,4.267440964849557,4,0,0,1,service
18,Product_A,Product_A,4,4.267440964849557,0.0,4.267440964849557,0.05854523302015213,4.325986197869709,0.0,4.325986197869709,1,0,0,1,service
18,Product_A,Product_A,1,4.325986197869709,0.0,4.325986197869709,0.053388763968945874,4.379374961838655,0.0,4.379374961838655,2,0,0,1,service
18,Product_A,Product_A,2,4.379374961838655,0.0,4.379374961838655,0.07534219399432818,4.454717155832983,0.0,4.454717155832983,-1,0,0,1,service
19,Product_A,Product_A,3,4.483241270431826,0.0,4.483241270431826,0.016375879066223398,4.499617149498049,0.0,4.499617149498049,4,0,0,1,service
19,Product_A,Product_A,4,4.499617149498049,0.0,4.499617149498049,0.0057935446359618226,4.505410694134011,0.0,4.505410694134011,1,0,0,1,service
19,Product_A,Product_A,1,4.505410694134011,0.0,4.505410694134011,0.0004889003865908848,4.505899594520602,0.0,4.505899594520602,2,0,0,1,service
19,Product_A,Product_A,2,4.505899594520602,0.0,4.505899594520602,0.012759757597800458,4.518659352118402,0.0,4.518659352118402,-1,0,0,1,service
20,maint,maint,1,4.902738866128005,0.0,4.902738866128005,0.019326567531305017,4.92206543365931,0.0,4.92206543365931,-1,0,0,1,service
21,maint,maint,4,5.8881725650892385,0.0,5.8881725650892385,0.017593304491313688,5.905765869580552,0.0,5.905765869580552,-1,0,0,1,service
22,Product_A,Product_A,3,6.019530072961059,0.0,6.019530072961059,0.00966153791944091,6.0291916108805,0.0,6.0291916108805,4,0,0,1,service
22,Product_A,Product_A,4,6.0291916108805,0.0,6.0291916108805,0.021247407657638107,6.050439018538138,0.0,6.050439018538138,1,0,0,1,service
22,Product_A,Product_A,1,6.050439018538138,0.0,6.050439018538138,0.020214072210619882,6.070653090748758,0.0,6.070653090748758,2,0,0,1,service
22,Product_A,Product_A,2,6.070653090748758,0.0,6.070653090748758,0.028534170075460885,6.099187260824219,0.0,6.099187260824219,-1,0,0,1,service
23,maint,maint,4,6.131340404532823,0.0,6.131340404532823,0.0009965981032644677,6.1323370026360875,0.0,6.1323370026360875,-1,0,0,1,service
24,Product_B,Product_B,1,6.2160436194203115,0.0,6.2160436194203115,0.009105206014254463,6.225148825434566,0.0,6.225148825434566,2,0,0,1,service
24,Product_B,Product_B,2,6.225148825434566,0.0,6.225148825434566,0.0958654892362496,6.3210143146708155,0.0,6.3210143146708155,3,0,0,1,service
24,Product_B,Product_B,3,6.3210143146708155,0.0,6.3210143146708155,0.01563815684420433,6.33665247151502,0.0,6.33665247151502,4,0,0,1,service
24,Product_B,Product_B,4,6.33665247151502,0.0,6.33665247151502,0.1556945423669509,6.492347013881971,0.0,6.492347013881971,-1,0,0,1,service
28,maint,maint,1,6.69995849663996,0.0,6.69995849663996,0.04209448829892537,6.742052984938885,0.0,6.742052984938885,-1,0,0,1,service
25,Product_B,Product_B,1,6.40698835220696,0.0,6.40698835220696,0.00035063100937104963,6.407338983216331,0.0,6.407338983216331,2,0,0,1,service
25,Product_B,Product_B,2,6.407338983216331,0.0,6.407338983216331,0.052867303116852504,6.460206286333183,0.0,6.460206286333183,3,0,1,1,service
25,Product_B,Product_B,3,6.460206286333183,0.0,6.460206286333183,0.2475298328216482,6.7077361191548315,0.0,6.7077361191548315,4,0,2,1,service
25,Product_B,Product_B,4,6.7077361191548315,0.0,6.7077361191548315,0.035520488086956625,6.743256607241788,0.0,6.743256607241788,-1,0,0,1,service
29,maint,maint,3,6.710229333748783,0.054684025033698624,6.764913358782482,0.019704745767138654,6.7846181045496206,0.0,6.7846181045496206,-1,2,1,1,service
30,maint,maint,2,6.813426554872029,0.0,6.813426554872029,0.03048671362707278,6.843913268499102,0.0,6.843913268499102,-1,0,0,1,service
26,Product_B,Product_B,1,6.423512201716222,0.0,6.423512201716222,0.002910406124390086,6.426422607840612,0.0,6.426422607840612,2,0,0,1,service
26,Product_B,Product_B,2,6.426422607840612,0.033783678492571134,6.460206286333183,0.010384606782543493,6.470590893115727,0.0,6.470590893115727,3,1,0,1,service
26,Product_B,Product_B,3,6.470590893115727,0.2371452260391047,6.7077361191548315,0.05717723962765042,6.764913358782482,0.0,6.764913358782482,4,1,2,1,service
26,Product_B,Product_B,4,6.764913358782482,0.0,6.764913358782482,0.3152418842951388,7.080155243077621,0.0,7.080155243077621,-1,0,1,1,service
27,Product_A,Product_A,3,6.644083773270085,0.14053433127953596,6.7846181045496206,0.11576248083385288,6.900380585383473,0.0,6.900380585383473,4,2,0,1,service
27,Product_A,Product_A,4,6.900380585383473,0.17977465769414724,7.080155243077621,0.18677473497974173,7.266929978057362,0.0,7.266929978057362,1,1,0,1,service
27,Product_A,Product_A,1,7.266929978057362,0.0,7.266929978057362,0.00028388081589270087,7.267213858873255,0.0,7.267213858873255,2,0,0,1,service
27,Product_A,Product_A,2,7.267213858873255,0.0,7.267213858873255,0.0017179584689284155,7.2689318173421835,0.0,7.2689318173421835,-1,0,0,1,service
32,Product_B,Product_B,1,7.541335832356089,0.0,7.541335832356089,0.014077046203339272,7.555412878559428,0.0,7.555412878559428,2,0,1,1,service
32,Product_B,Product_B,2,7.555412878559428,0.0,7.555412878559428,0.02962725199766325,7.585040130557092,0.0,7.585040130557092,3,0,0,1,service
32,Product_B,Product_B,3,7.585040130557092,0.0,7.585040130557092,0.028404820824694532,7.613444951381786,0.0,7.613444951381786,4,0,0,1,service
32,Product_B,Product_B,4,7.613444951381786,0.0,7.613444951381786,0.0197833853731888,7.633228336754975,0.0,7.633228336754975,-1,0,0,1,service
31,Product_A,Product_A,3,7.249841949466782,0.0,7.249841949466782,0.07566451670233754,7.325506466169119,0.0,7.325506466169119,4,0,0,1,service
31,Product_A,Product_A,4,7.325506466169119,0.0,7.325506466169119,0.21836506289919555,7.543871529068315,0.0,7.543871529068315,1,0,0,1,service
31,Product_A,Product_A,1,7.543871529068315,0.011541349491113628,7.555412878559428,0.04058246704207047,7.595995345601499,0.0,7.595995345601499,2,1,0,1,service
31,Product_A,Product_A,2,7.595995345601499,0.0,7.595995345601499,0.04983677229595074,7.6458321178974495,0.0,7.6458321178974495,-1,0,0,1,service
34,Product_B,Product_B,1,7.713814985556128,0.0,7.713814985556128,0.006559246676096642,7.720374232232225,0.0,7.720374232232225,2,0,0,1,service
34,Product_B,Product_B,2,7.720374232232225,0.0,7.720374232232225,0.0007607776306572944,7.721135009862882,0.0,7.721135009862882,3,0,0,1,service
34,Product_B,Product_B,3,7.721135009862882,0.0,7.721135009862882,0.02647407715803851,7.747609087020921,0.0,7.747609087020921,4,0,0,1,service
34,Product_B,Product_B,4,7.747609087020921,0.003000896863807334,7.750609983884728,0.03796339720634645,7.788573381091075,0.0,7.788573381091075,-1,1,1,1,service
35,maint,maint,4,7.7805952402076395,0.00797814088343518,7.788573381091075,0.0175568989738899,7.806130280064965,0.0,7.806130280064965,-1,1,0,1,service
33,Product_A,Product_A,3,7.698299707928713,0.0,7.698299707928713,0.0061271356177199365,7.704426843546433,0.0,7.704426843546433,4,0,0,1,service
33,Product_A,Product_A,4,7.704426843546433,0.0,7.704426843546433,0.04618314033829485,7.750609983884728,0.0,7.750609983884728,1,0,1,1,service
33,Product_A,Product_A,1,7.750609983884728,0.0,7.750609983884728,0.007985496399801839,7.75859548028453,0.0,7.75859548028453,2,0,0,1,service
33,Product_A,Product_A,2,7.75859548028453,0.0,7.75859548028453,0.08081401769606611,7.839409497980596,0.0,7.839409497980596,-1,0,0,1,service
37,maint,maint,1,8.616825512936733,0.0,8.616825512936733,0.11043591626164861,8.727261429198382,0.0,8.727261429198382,-1,0,0,1,service
36,Product_A,Product_A,3,8.6120389856349,0.0,8.6120389856349,0.11891158016845438,8.730950565803354,0.0,8.730950565803354,4,0,0,1,service
36,Product_A,Product_A,4,8.730950565803354,0.0,8.730950565803354,0.08617847999967587,8.81712904580303,0.0,8.81712904580303,1,0,0,1,service
36,Product_A,Product_A,1,8.81712904580303,0.0,8.81712904580303,0.006198704740340233,8.82332775054337,0.0,8.82332775054337,2,0,0,1,service
36,Product_A,Product_A,2,8.82332775054337,0.0,8.82332775054337,0.01064384970710286,8.833971600250473,0.0,8.833971600250473,-1,0,0,1,service
38,Product_A,Product_A,3,9.58029246069798,0.0,9.58029246069798,0.07908003042736667,9.659372491125346,0.0,9.659372491125346,4,0,2,1,service
38,Product_A,Product_A,4,9.659372491125346,0.0,9.659372491125346,0.009695055061914815,9.66906754618726,0.0,9.66906754618726,1,0,0,1,service
38,Product_A,Product_A,1,9.66906754618726,0.0,9.66906754618726,0.003670727684767172,9.672738273872028,0.0,9.672738273872028,2,0,0,1,service
38,Product_A,Product_A,2,9.672738273872028,0.0,9.672738273872028,0.003378239355171786,9.6761165132272,0.0,9.6761165132272,-1,0,0,1,service
40,maint,maint,3,9.643171894999984,0.016200596125361955,9.659372491125346,0.12126201533451209,9.780634506459858,0.0,9.780634506459858,-1,2,1,1,service
39,Product_B,Product_B,1,9.595523023523429,0.0,9.595523023523429,0.030661380701941354,9.62618440422537,0.0,9.62618440422537,2,0,0,1,service
39,Product_B,Product_B,2,9.62618440422537,0.0,9.62618440422537,0.014341810330909865,9.64052621455628,0.0,9.64052621455628,3,0,0,1,service
39,Product_B,Product_B,3,9.64052621455628,0.14010829190357832,9.780634506459858,0.13407817781461517,9.914712684274473,0.0,9.914712684274473,4,1,0,1,service
39,Product_B,Product_B,4,9.914712684274473,0.0,9.914712684274473,0.16162729293738742,10.07633997721186,0.0,10.07633997721186,-1,0,1,1,service
41,Product_B,Product_B,1,10.016306742715647,0.0,10.016306742715647,0.00694793605727817,10.023254678772926,0.0,10.023254678772926,2,0,0,1,service
41,Product_B,Product_B,2,10.023254678772926,0.0,10.023254678772926,0.019786620842978664,10.043041299615904,0.0,10.043041299615904,3,0,0,1,service
41,Product_B,Product_B,3,10.043041299615904,0.0,10.043041299615904,0.01688229091413973,10.059923590530044,0.0,10.059923590530044,4,0,0,1,service
41,Product_B,Product_B,4,10.059923590530044,0.016416386681816775,10.07633997721186,0.028437990743922725,10.104777967955783,0.0,10.104777967955783,-1,1,0,1,service
42,Product_A,Product_A,3,10.344303246975942,0.0,10.344303246975942,0.12301568826666731,10.46731893524261,0.0,10.46731893524261,4,0,0,1,service
42,Product_A,Product_A,4,10.46731893524261,0.0,10.46731893524261,0.04080424312066633,10.508123178363276,0.0,10.508123178363276,1,0,0,1,service
